_id,label,hari
662f2fce3ba1c0b45ee4f640,without_mask,Tuesday
662f2fce3ba1c0b45ee4f641,without_mask,Tuesday
662f2fce3ba1c0b45ee4f642,without_mask,Tuesday
662f2fce3ba1c0b45ee4f643,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f644,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f645,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f646,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f647,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f648,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f649,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f64a,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f64b,without_mask,Tuesday
662f2fcf3ba1c0b45ee4f64c,without_mask,Tuesday
662f2fd03ba1c0b45ee4f64d,without_mask,Tuesday
662f2fd03ba1c0b45ee4f64e,without_mask,Tuesday
662f2fd03ba1c0b45ee4f64f,without_mask,Tuesday
662f2fd03ba1c0b45ee4f650,without_mask,Tuesday
662f2fd03ba1c0b45ee4f651,without_mask,Tuesday
662f2fd03ba1c0b45ee4f652,without_mask,Tuesday
662f2fd03ba1c0b45ee4f653,without_mask,Tuesday
662f2fd03ba1c0b45ee4f654,without_mask,Tuesday
662f2fd03ba1c0b45ee4f655,without_mask,Tuesday
662f2fd03ba1c0b45ee4f656,without_mask,Tuesday
662f2fd13ba1c0b45ee4f657,without_mask,Tuesday
662f2fd13ba1c0b45ee4f658,without_mask,Tuesday
662f2fd13ba1c0b45ee4f659,without_mask,Tuesday
662f2fd13ba1c0b45ee4f65a,without_mask,Tuesday
662f2fd13ba1c0b45ee4f65b,without_mask,Tuesday
662f2fd13ba1c0b45ee4f65c,without_mask,Tuesday
662f2fd13ba1c0b45ee4f65d,without_mask,Tuesday
662f2fd13ba1c0b45ee4f65e,without_mask,Tuesday
662f2fd13ba1c0b45ee4f65f,without_mask,Tuesday
662f2fd23ba1c0b45ee4f660,without_mask,Tuesday
662f300b8293a679a8469993,with_mask,Wednesday
662f300b8293a679a8469994,with_mask,Wednesday
662f300c8293a679a8469995,with_mask,Wednesday
662f300c8293a679a8469996,with_mask,Wednesday
662f300c8293a679a8469997,with_mask,Wednesday
662f300c8293a679a8469998,with_mask,Wednesday
662f300c8293a679a8469999,with_mask,Wednesday
662f300c8293a679a846999a,with_mask,Wednesday
662f300c8293a679a846999b,with_mask,Wednesday
662f300c8293a679a846999c,with_mask,Wednesday
662f300d8293a679a846999d,with_mask,Wednesday
662f300d8293a679a846999e,with_mask,Wednesday
662f300d8293a679a846999f,with_mask,Wednesday
662f300d8293a679a84699a0,with_mask,Wednesday
662f300d8293a679a84699a1,with_mask,Wednesday
662f300d8293a679a84699a2,with_mask,Wednesday
662f300d8293a679a84699a3,with_mask,Wednesday
662f300d8293a679a84699a4,with_mask,Wednesday
662f300d8293a679a84699a5,with_mask,Wednesday
662f300d8293a679a84699a6,with_mask,Wednesday
662f300e8293a679a84699a7,with_mask,Wednesday
662f300e8293a679a84699a8,with_mask,Wednesday
662f300e8293a679a84699a9,with_mask,Wednesday
662f300e8293a679a84699aa,with_mask,Wednesday
662f300e8293a679a84699ab,with_mask,Wednesday
662f300e8293a679a84699ac,with_mask,Wednesday
662f300e8293a679a84699ad,with_mask,Wednesday
662f300e8293a679a84699ae,with_mask,Wednesday
662f300e8293a679a84699af,with_mask,Wednesday
662f300f8293a679a84699b0,with_mask,Wednesday
662f300f8293a679a84699b1,with_mask,Wednesday
662f300f8293a679a84699b2,with_mask,Wednesday
662f300f8293a679a84699b3,with_mask,Wednesday
662f300f8293a679a84699b4,with_mask,Wednesday
662f300f8293a679a84699b5,with_mask,Wednesday
662f300f8293a679a84699b6,with_mask,Wednesday
662f300f8293a679a84699b7,with_mask,Wednesday
662f300f8293a679a84699b8,with_mask,Wednesday
662f300f8293a679a84699b9,with_mask,Wednesday
662f30108293a679a84699ba,with_mask,Wednesday
662f30108293a679a84699bb,with_mask,Wednesday
662f30108293a679a84699bc,with_mask,Wednesday
662f30108293a679a84699bd,with_mask,Wednesday
662f30108293a679a84699be,with_mask,Wednesday
662f30108293a679a84699bf,with_mask,Wednesday
662f30108293a679a84699c0,with_mask,Wednesday
662f30108293a679a84699c1,with_mask,Wednesday
662f30108293a679a84699c2,without_mask,Wednesday
662f30108293a679a84699c3,without_mask,Wednesday
662f30118293a679a84699c4,without_mask,Wednesday
662f30118293a679a84699c5,without_mask,Wednesday
662f30118293a679a84699c6,without_mask,Wednesday
662f30118293a679a84699c7,without_mask,Wednesday
662f30118293a679a84699c8,without_mask,Wednesday
662f30118293a679a84699c9,without_mask,Wednesday
662f30118293a679a84699ca,without_mask,Wednesday
662f30118293a679a84699cb,without_mask,Wednesday
662f30118293a679a84699cc,without_mask,Wednesday
662f30128293a679a84699cd,without_mask,Wednesday
662f30128293a679a84699ce,without_mask,Wednesday
662f30128293a679a84699cf,without_mask,Wednesday
662f30128293a679a84699d0,without_mask,Wednesday
662f30128293a679a84699d1,without_mask,Wednesday
662f30128293a679a84699d2,without_mask,Wednesday
662f30128293a679a84699d3,without_mask,Wednesday
662f30128293a679a84699d4,without_mask,Wednesday
662f30128293a679a84699d5,without_mask,Wednesday
662f30128293a679a84699d6,without_mask,Wednesday
662f30138293a679a84699d7,without_mask,Wednesday
662f30138293a679a84699d8,without_mask,Wednesday
662f30138293a679a84699d9,without_mask,Wednesday
662f30138293a679a84699da,without_mask,Wednesday
662f30138293a679a84699db,without_mask,Wednesday
662f30138293a679a84699dc,without_mask,Wednesday
662f30138293a679a84699dd,without_mask,Wednesday
662f30138293a679a84699de,without_mask,Wednesday
